ms,diff
2267,1
2268,1
2269,1
2270,2
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2304,1
2305,1
2306,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,2
2315,1
2316,1
2317,1
2317,1
2318,2
2319,2
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,2
2328,2
2329,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,2
2339,1
2340,2
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2352,1
2353,1
2354,1
2355,2
2356,1
2357,1
2358,0
2359,1
2360,1
2361,2
2362,1
2363,1
2364,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,2
2374,1
2375,1
2375,1
2376,2
2377,2
2378,1
2379,1
2380,1
2381,1
2382,1
2383,2
2384,2
2385,1
2386,1
2387,2
2387,1
2388,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2399,2
2400,2
2401,1
2402,2
2403,1
2404,1
2405,1
2406,1
2407,2
2408,1
2409,1
2410,1
2411,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,2
2419,1
2420,1
2421,2
2422,1
2422,1
2423,1
2424,2
2425,1
2426,1
2427,1
2428,2
2429,2
2430,2
2432,2
2433,2
2434,2
2434,1
2435,1
2436,2
2437,1
2438,2
2439,2
2440,1
2441,2
2442,2
2443,1
2444,1
2445,1
2445,2
2446,2
2447,2
2448,2
2449,1
2450,2
2451,2
2452,2
2453,2
2454,2
2455,2
2456,3
2456,2
2457,2
2458,2
2459,3
2460,3
2461,3
2462,3
2463,3
2464,3
2465,4
2466,4
2467,3
2467,4
2468,4
2469,3
2470,4
2471,4
2472,3
2473,4
2475,4
2476,4
2477,5
2478,4
2479,4
2479,5
2480,5
2481,5
2482,5
2483,5
2484,6
2485,6
2486,6
2487,6
2488,7
2489,7
2490,8
2490,8
2491,8
2492,9
2493,9
2494,9
2495,9
2496,10
2497,10
2498,10
2499,10
2500,10
2501,10
2502,9
2503,9
2504,9
2505,9
2506,9
2506,9
2507,9
2508,9
2509,9
2510,10
2511,10
2512,10
2513,11
2514,11
2515,12
2516,12
2518,12
2519,12
2520,13
2521,14
2522,14
2523,14
2524,14
2525,14
2526,14
2527,14
2528,14
2529,14
2530,14
2531,14
2532,13
2533,13
2534,14
2534,13
2535,14
2536,13
2537,14
2538,13
2539,14
2540,14
2541,14
2542,14
2543,14
2544,15
2545,14
2546,15
2547,16
2548,15
2549,16
2550,16
2551,17
2552,18
2553,19
2554,20
2555,21
2556,22
2557,23
2558,24
2560,24
2561,24
2562,24
2563,23
2564,22
2565,22
2566,21
2567,20
2568,20
2569,19
2570,18
2571,17
2572,17
2573,16
2574,16
2574,16
2575,16
2576,15
2577,15
2578,15
2579,15
2580,14
2581,15
2582,16
2583,16
2584,16
2585,16
2586,16
2587,17
2588,17
2589,18
2590,18
2591,18
2592,20
2593,20
2594,21
2595,21
2596,22
2597,22
2598,23
2599,24
2600,24
2601,24
2603,24
2604,23
2605,22
2606,21
2607,20
2608,20
2609,18
2610,18
2611,17
2612,17
2613,16
2614,16
2614,15
2615,14
2616,14
2617,14
2618,13
2619,13
2620,12
2621,12
2622,12
2623,11
2624,12
2625,11
2626,12
2627,11
2628,12
2629,12
2630,12
2631,12
2632,13
2633,12
2634,13
2635,13
2636,13
2637,14
2638,14
2639,15
2640,14
2641,15
2642,14
2643,14
2644,13
2646,13
2647,12
2648,12
2649,12
2650,11
2651,11
2652,11
2653,11
2654,11
2654,11
2655,11
2656,11
2657,11
2658,11
2659,11
2660,11
2661,11
2662,11
2663,11
2664,11
2665,11
2666,10
2667,11
2668,11
2669,11
2670,11
2671,11
2672,11
2673,11
2674,11
2675,11
2676,11
2677,11
2678,11
2679,11
2680,11
2681,11
2682,11
2683,11
2684,11
2685,11
2686,11
2688,11
2689,11
2690,11
2691,10
2692,11
2693,11
2694,11
2694,11
2695,11
2696,11
2697,11
2698,11
2699,11
2700,11
2701,11
2702,11
2703,10
2704,11
2705,11
2706,11
2707,11
2708,10
2709,11
2710,11
2711,11
2712,11
2713,11
2714,11
2715,11
2716,11
2717,11
2718,11
2719,11
2720,11
2721,11
2722,11
2723,11
2724,11
2725,11
2726,11
2727,11
2728,11
2729,11
2731,11
2732,11
2733,11
2734,11
2734,11
2735,11
2736,12
2737,11
2738,11
2739,11
2740,11
2741,11
2742,11
2743,11
2744,11
2745,11
2746,11
2747,11
2748,11
2749,11
2750,11
2751,11
2752,11
2753,11
2754,11
2755,11
2756,11
2757,11
2758,11
2759,11
2760,11
2761,11
2762,11
2763,11
2764,12
2765,11
2766,11
2767,11
2768,11
2769,11
2770,11
2771,11
2772,11
2774,11
2774,11
2775,11
2776,11
2777,11
2778,11
2779,11
2780,11
2781,11
2782,11
2783,11
2784,11
2785,11
2786,11
2787,11
2788,11
2789,11
2790,12
